subjID, side, relpos, edgeID, weight
30,0,3,2,0
31,0,2,2,0.32308
32,0,2,2,18.905
33,0,2,2,0.68837
34,0,2,2,1.6018
35,0,3,2,0.15966
36,0,2,2,3.2952
37,0,2,2,15.821
38,0,2,2,1.7271
39,0,2,2,16.89
40,0,3,2,76.439
41,0,3,2,76.652
42,0,3,2,32.158
1,1,1,2,4.002
2,1,1,2,17.748
3,1,1,2,51.799
4,1,1,2,57.741
5,1,1,2,6.6769
6,1,1,2,0.22222
7,1,1,2,8.8667
8,1,1,2,12.693
9,1,1,2,5.5137
10,1,1,2,14.494
11,1,1,2,4.3353
12,1,1,2,109.31
13,1,1,2,4.3736
14,1,1,2,15.955
15,1,1,2,7.1899
16,1,1,2,5.1872
17,1,1,2,22.516
18,1,1,2,88.709
19,1,1,2,20.263
20,1,1,2,47.724
21,1,1,2,26.5
22,1,3,2,2.9889
23,1,2,2,1.3712
24,1,3,2,85.73
25,1,2,2,15.49
26,1,3,2,21.144
27,1,2,2,11.409
28,1,2,2,12.861
29,1,2,2,14.604
30,1,2,2,21.548
31,1,3,2,8.935
32,1,3,2,2.9247
33,1,3,2,1.2188
34,1,3,2,31.494
35,1,2,2,6.6705
36,1,3,2,24.412
37,1,3,2,30.316
38,1,3,2,1.6642
39,1,3,2,49.687
40,1,2,2,5.3032
41,1,2,2,8.2864
42,1,2,2,16.121
1,0,1,3,0.17912
2,0,1,3,2.9024
3,0,1,3,2.9145
4,0,1,3,0.021154
5,0,1,3,0.16995
6,0,1,3,4.8611
7,0,1,3,1.5084
8,0,1,3,0.30526
9,0,1,3,1.574
10,0,1,3,0.10843
11,0,1,3,0.69502
12,0,1,3,1.141
13,0,1,3,0.37708
14,0,1,3,0.013944
15,0,1,3,2.1558
16,0,1,3,0.12299
17,0,1,3,0.72308
18,0,1,3,0.72244
19,0,1,3,2.016
20,0,1,3,0.58314
21,0,1,3,1.6276
22,0,2,3,0.29943
23,0,3,3,2.5518
24,0,2,3,0.50095
25,0,3,3,0.37059
26,0,2,3,0.054475
27,0,3,3,0.25846
28,0,3,3,0.515
29,0,3,3,0.42222
30,0,3,3,0.23805
31,0,2,3,0.22887
32,0,2,3,0.5942
33,0,2,3,0.31176
34,0,2,3,0.55627
35,0,3,3,0.13029
36,0,2,3,0.45567
37,0,2,3,0.33835
38,0,2,3,0.49171
39,0,2,3,1.2209
40,0,3,3,0.81516
41,0,3,3,0.26782
42,0,3,3,0.24016
1,1,1,3,0.3865
2,1,1,3,1.3801
3,1,1,3,0.10882
4,1,1,3,0.13832
5,1,1,3,0.10016
6,1,1,3,0.18337
7,1,1,3,1.2212
8,1,1,3,0.20556
9,1,1,3,0.64023
10,1,1,3,1.2119
11,1,1,3,2.5237
12,1,1,3,1.5885
13,1,1,3,0.077586
14,1,1,3,0.10242
15,1,1,3,0.50756
16,1,1,3,1.1788
17,1,1,3,0.2963
18,1,1,3,1.5123
19,1,1,3,0.10638
20,1,1,3,0.85587
21,1,1,3,0.016129
22,1,3,3,0.16234
23,1,2,3,0.46998
24,1,3,3,0.5372
25,1,2,3,0.99408
26,1,3,3,0.10891
